Treatment,Replicate,Value
Control,Rep1,107.10045716050188
Control,Rep1,88.93603013582555
Control,Rep1,84.13656945342228
Control,Rep1,83.35638727101119
Control,Rep1,98.45315602623556
Control,Rep1,96.5935572837766
Control,Rep1,102.03165743657546
Control,Rep1,84.06928918554593
Control,Rep1,100.40599068933078
Control,Rep1,100.11377118786724
Control,Rep1,94.2261088349088
Control,Rep1,105.16338526578927
Control,Rep1,104.01565395424089
Control,Rep1,83.3082939092379
Control,Rep1,107.70648940121364
Control,Rep1,84.5674208649802
Control,Rep1,106.76233507054997
Control,Rep1,89.30866463940826
Control,Rep1,100.60032652166917
Control,Rep1,98.82443655919293
Control,Rep1,122.13301929696239
Control,Rep1,101.54006001876728
Control,Rep1,121.47590335667797
Control,Rep1,103.99180518592871
Control,Rep1,81.21582542646954
Control,Rep1,118.8204903718124
Control,Rep1,82.34998106695295
Control,Rep1,80.05082028265184
Control,Rep1,97.51908338135304
Control,Rep1,101.26967577607068
Control,Rep1,100.91139786322286
Control,Rep1,108.57520182005624
Control,Rep1,90.01904339980669
Control,Rep1,107.35019845593371
Control,Rep1,106.81470692474892
Control,Rep1,105.28894543340373
Control,Rep1,109.38421410128882
Control,Rep1,101.20763850180938
Control,Rep1,100.88020620028094
Control,Rep1,85.50730592870133
Control,Rep1,96.9958970077317
Control,Rep1,101.25310859439055
Control,Rep1,95.5513727740224
Control,Rep1,90.86296773240055
Control,Rep1,79.86212628981417
Control,Rep1,99.5048065344683
Control,Rep1,95.15660089560804
Control,Rep1,97.43044241793574
Control,Rep1,85.68676700924487
Control,Rep1,101.44497297402266
Control,Rep1,104.00739014581897
Control,Rep1,78.46033044231092
Control,Rep1,89.97283510949316
Control,Rep1,88.13709399634917
Control,Rep1,96.15288151376738
Control,Rep1,89.51858401700402
Control,Rep1,108.76852759067678
Control,Rep1,96.08208099376995
Control,Rep1,96.86806014344609
Control,Rep1,99.69974462532812
Control,Rep1,102.65492434168856
Control,Rep1,99.8679693535216
Control,Rep1,103.35589193885279
Control,Rep1,94.76113621439487
Control,Rep1,102.32017604443503
Control,Rep1,85.8154942865471
Control,Rep1,99.69497125027898
Control,Rep1,94.07310776115159
Control,Rep1,98.31445727174717
Control,Rep1,109.68799463538276
Control,Rep1,97.2840477456769
Control,Rep1,85.47740716803625
Control,Rep1,116.06831617008545
Control,Rep1,117.82112607726029
Control,Rep1,99.59265359182383
Control,Rep1,109.09388162322117
Control,Rep1,102.29328141508182
Control,Rep1,89.07058344492702
Control,Rep1,97.86692349976855
Control,Rep1,97.67818639204026
Control,Rep1,116.36124771342227
Control,Rep1,101.70463384996391
Control,Rep1,98.24864881544565
Control,Rep1,90.52975836066929
Control,Rep1,97.25030327762585
Control,Rep1,98.25268525868925
Control,Rep1,109.25410385444687
Control,Rep1,92.28875718097343
Control,Rep1,103.70849121267501
Control,Rep1,105.990358909346
Control,Rep1,110.48860254460776
Control,Rep1,89.3876395317699
Control,Rep1,114.13372853096499
Control,Rep1,104.06258678305079
Control,Rep1,84.80181545581242
Control,Rep1,107.48393208592623
Control,Rep1,85.15223369791619
Control,Rep1,103.92024118875312
Control,Rep1,86.91805362766765
Control,Rep1,93.64514423912243
Control,Rep1,80.22219833757117
Control,Rep1,103.87578832374771
Control,Rep1,107.29768433226027
Control,Rep1,96.09237055290114
Control,Rep1,88.82668556733228
Control,Rep1,83.73024436651875
Control,Rep1,94.93346527833874
Control,Rep1,79.3527462332902
Control,Rep1,95.25605124836795
Control,Rep1,84.33600521846644
Control,Rep1,107.62649567956534
Control,Rep1,97.81111135036214
Control,Rep1,100.5285364097108
Control,Rep1,91.3685709526168
Control,Rep1,102.7330669301536
Control,Rep1,106.03813918829243
Control,Rep1,92.26207794722067
